Year,Units,Value
2002,Number of Firms,345436
2002,Number of Employees,371194
2002,Sales Revenue ($M),60
2007,Number of Firms,409830
2007,Number of Employees,388536
2007,Sales Revenue ($M),80
2013,Number of Firms,432300
2013,Number of Employees,394600
2013,Sales Revenue ($M),87
