Year,Units,Value
2012,safe on school grounds,85
2012,safe in the neighborhood outside the school,73
2013,safe on school grounds,71
2013,safe in the neighborhood outside the school,60
2014,safe on school grounds,73
2014,safe in the neighborhood outside the school,63
2015,safe on school grounds,63
2015,safe in the neighborhood outside the school,53
2016,safe on school grounds,68
2016,safe in the neighborhood outside the school,58
2017,safe on school grounds,87
2017,safe in the neighborhood outside the school,80
2018,safe on school grounds,85
2018,safe in the neighborhood outside the school,79
2019,safe on school grounds,64
2019,safe in the neighborhood outside the school,61
