Year,Gender,Value
2022,,27013
2022,Male,31204
2022,Female,23143
2021,,24677
2021,Male,28139
2021,Female,20212
2020,,24100
2020,Male,26510
2020,Female,20261
2019,,22525
2019,Male,25476
2019,Female,19522
2018,,21511
2018,Male,24037
2018,Female,18658
2017,,21239
2017,Male,22396
2017,Female,17955
2016,,20286
2016,Male,21497
2016,Female,17170
2015,,18965
2015,Male,20133
2015,Female,16933
