Year,Units,Value
2013,total manufacturing employed,130209
2014,total manufacturing employed,135865
2015,total manufacturing employed,131430
2016,total manufacturing employed,131600
2017,total manufacturing employed,130183
2018,total manufacturing employed,129966
2019,total manufacturing employed,118771
2013,manufacturing as a proportion of total employment,10.65
2014,manufacturing as a proportion of total employment,10.66
2015,manufacturing as a proportion of total employment,9.90
2016,manufacturing as a proportion of total employment,9.77
2017,manufacturing as a proportion of total employment,9.30
2018,manufacturing as a proportion of total employment,9.25
2019,manufacturing as a proportion of total employment,8.25
