'ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
5,"Bicycle",2015,"2015",22865,2786,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.012002630972509696
4,"Motorcycle",2015,"2015",266191,8181.000000000001,"United States","01000US","united-states",0.001794657053847465
2,"Public Transit",2014,"2014",198488,9198.397577839305,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.1063842445324036
0,"Drove Alone",2014,"2014",1274181,13225,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.6829268423408092
4,"Motorcycle",2014,"2014",285407,8679,"United States","01000US","united-states",0.0019565758713646123
5,"Bicycle",2014,"2014",24334,3273,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.013042371359737159
5,"Bicycle",2014,"2014",904463,17061,"United States","01000US","united-states",0.006200445267081927
3,"Taxi",2014,"2014",1026,405,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0005499084825795317
3,"Taxi",2014,"2014",165977,8165,"United States","01000US","united-states",0.0011378368204055412
6,"Walked",2014,"2014",63501,4382,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.03403483289696184
6,"Walked",2014,"2014",4011094,33672,"United States","01000US","united-states",0.027497607760760486
4,"Motorcycle",2014,"2014",5453,1176,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0029226617500060295
2,"Public Transit",2014,"2014",7600395,46539.04105157303,"United States","01000US","united-states",0.05210366063144997
7,"Other",2014,"2014",25164,3140,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.013487229099055883
7,"Other",2014,"2014",1353870,19754,"United States","01000US","united-states",0.009281304855747784
1,"Carpooled",2014,"2014",166249,7280.395387614603,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.08910500518554051
1,"Carpooled",2014,"2014",13481429,73290.30210061901,"United States","01000US","united-states",0.0924204336015415
8,"Worked At Home",2014,"2014",107369,6009,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.05754690435290618
8,"Worked At Home",2014,"2014",6542582,41264,"United States","01000US","united-states",0.044851941534806185
0,"Drove Alone",2014,"2014",111525436,151310,"United States","01000US","united-states",0.764550193656842
6,"Walked",2013,"2013",4000459,35277,"United States","01000US","united-states",0.027982599534105403
3,"Taxi",2013,"2013",160975,6969,"United States","01000US","united-states",0.0011259955320133558
3,"Taxi",2013,"2013",1745,778,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0009690885735849224
6,"Walked",2013,"2013",65090,4152,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.03614783682214476
8,"Worked At Home",2013,"2013",6229012,44321,"United States","01000US","united-states",0.04357098730149139
1,"Carpooled",2013,"2013",177631,7535.237620672622,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.0986476632747641
5,"Bicycle",2013,"2013",882198,17363,"United States","01000US","united-states",0.006170840232030554
4,"Motorcycle",2013,"2013",295733,7944.000000000001,"United States","01000US","united-states",0.0020686071543339385
7,"Other",2013,"2013",28816,3594,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.016003012227176577
4,"Motorcycle",2013,"2013",4375,879.9999999999999,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.002429663329188559
1,"Carpooled",2013,"2013",13387020,70894.66604054214,"United States","01000US","united-states",0.09364015969543987
7,"Other",2013,"2013",1336608,26529,"United States","01000US","united-states",0.00934936875945524
2,"Public Transit",2013,"2013",194310,7155.963247529993,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.10791037291305804
8,"Worked At Home",2013,"2013",97778,5702,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.05430117051460547
2,"Public Transit",2013,"2013",7393159,47840.60041429246,"United States","01000US","united-states",0.05171401771370914
5,"Bicycle",2013,"2013",21999,2836,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.012217180246587226
0,"Drove Alone",2013,"2013",109277215,130448,"United States","01000US","united-states",0.764377424077421
0,"Drove Alone",2013,"2013",1208917,16098.999999999998,"Los Angeles, CA","16000US0644000","los-angeles-ca",0.6713740120988904
