Year,Units,Value
2011,Millions current $,480.1
2011,Proportion of total GDP,0.06
2012,Millions current $,463.3
2012,Proportion of total GDP,0.06
2013,Millions current $,439.6
2013,Proportion of total GDP,0.05
2014,Millions current $,409.3
2014,Proportion of total GDP,0.05
2015,Millions current $,393.8
2015,Proportion of total GDP,0.04
2016,Millions current $,440.4
2016,Proportion of total GDP,0.04
2017,Millions current $,449.2
2017,Proportion of total GDP,0.04
