Year,Gender,Value
2019,,72359
2019,Male,80321
2019,Female,66552
2018,,71171
2018,Male,77251
2018,Female,62196
2017,,70407
2017,Male,80530
2017,Female,60076
2016,,65378
2016,Male,70024
2016,Female,61299
2015,,62353
2015,Male,67855
2015,Female,57486
2014,,61487
2014,Male,70225
2014,Female,55692
2013,,61927
2013,Male,66106
2013,Female,60395
2012,,58705
2012,Male,61260
2012,Female,52481
