Year,Fuel Type,Value
2015,Gas,0.360
2015,Diesel,0.13
2016,Gas,0.278
2016,Diesel,0.16
2017,Gas,0.297
2017,Diesel,0.16
2018,Gas,0.417
2018,Diesel,0.36
2019,Gas,0.473
2019,Diesel,0.36
2020,Gas,0.505
2020,Diesel,0.385
2021,Gas,0.511
2021,Diesel,0.389
